key:ID,source,local_id,last_updated,name,source_file,type,:LABEL
arc/the_australian_national_university,arc.gov.au,the_australian_national_university,2023-05-26 11:04:54.121740,The australian national university,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_queensland,arc.gov.au,the_university_of_queensland,2023-05-26 11:04:54.121806,The university of queensland,node_arc_orgs.csv,organisation,arc;organisation
arc/deakin_university,arc.gov.au,deakin_university,2023-05-26 11:04:54.121850,Deakin university,node_arc_orgs.csv,organisation,arc;organisation
arc/flinders_university,arc.gov.au,flinders_university,2023-05-26 11:04:54.121919,Flinders university,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_sydney,arc.gov.au,the_university_of_sydney,2023-05-26 11:04:54.121959,The university of sydney,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_melbourne,arc.gov.au,the_university_of_melbourne,2023-05-26 11:04:54.121997,The university of melbourne,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_technology_sydney,arc.gov.au,university_of_technology_sydney,2023-05-26 11:04:54.122042,University of technology sydney,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_new_south_wales,arc.gov.au,the_university_of_new_south_wales,2023-05-26 11:04:54.122080,The university of new south wales,node_arc_orgs.csv,organisation,arc;organisation
arc/western_sydney_university,arc.gov.au,western_sydney_university,2023-05-26 11:04:54.122168,Western sydney university,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_western_sydney,arc.gov.au,university_of_western_sydney,2023-05-26 11:04:54.122210,University of western sydney,node_arc_orgs.csv,organisation,arc;organisation
arc/murdoch_university,arc.gov.au,murdoch_university,2023-05-26 11:04:54.122246,Murdoch university,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_adelaide,arc.gov.au,the_university_of_adelaide,2023-05-26 11:04:54.122502,The university of adelaide,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_technology,_sydney",arc.gov.au,"university_of_technology,_sydney",2023-05-26 11:04:54.122633,"University of technology, sydney",node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_western_australia,arc.gov.au,the_university_of_western_australia,2023-05-26 11:04:54.122767,The university of western australia,node_arc_orgs.csv,organisation,arc;organisation
arc/macquarie_university,arc.gov.au,macquarie_university,2023-05-26 11:04:54.122946,Macquarie university,node_arc_orgs.csv,organisation,arc;organisation
arc/southern_cross_university,arc.gov.au,southern_cross_university,2023-05-26 11:04:54.123031,Southern cross university,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_tasmania,arc.gov.au,university_of_tasmania,2023-05-26 11:04:54.123092,University of tasmania,node_arc_orgs.csv,organisation,arc;organisation
arc/queensland_university_of_technology,arc.gov.au,queensland_university_of_technology,2023-05-26 11:04:54.123154,Queensland university of technology,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_wollongong,arc.gov.au,university_of_wollongong,2023-05-26 11:04:54.123191,University of wollongong,node_arc_orgs.csv,organisation,arc;organisation
arc/la_trobe_university,arc.gov.au,la_trobe_university,2023-05-26 11:04:54.123277,La trobe university,node_arc_orgs.csv,organisation,arc;organisation
arc/curtin_university_of_technology,arc.gov.au,curtin_university_of_technology,2023-05-26 11:04:54.123340,Curtin university of technology,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_south_australia,arc.gov.au,university_of_south_australia,2023-05-26 11:04:54.123401,University of south australia,node_arc_orgs.csv,organisation,arc;organisation
arc/monash_university,arc.gov.au,monash_university,2023-05-26 11:04:54.123509,Monash university,node_arc_orgs.csv,organisation,arc;organisation
arc/rmit_university,arc.gov.au,rmit_university,2023-05-26 11:04:54.123640,Rmit university,node_arc_orgs.csv,organisation,arc;organisation
arc/australian_catholic_university,arc.gov.au,australian_catholic_university,2023-05-26 11:04:54.123748,Australian catholic university,node_arc_orgs.csv,organisation,arc;organisation
arc/the_flinders_university_of_south_australia,arc.gov.au,the_flinders_university_of_south_australia,2023-05-26 11:04:54.123809,The flinders university of south australia,node_arc_orgs.csv,organisation,arc;organisation
arc/swinburne_university_of_technology,arc.gov.au,swinburne_university_of_technology,2023-05-26 11:04:54.124110,Swinburne university of technology,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_newcastle,arc.gov.au,the_university_of_newcastle,2023-05-26 11:04:54.124171,The university of newcastle,node_arc_orgs.csv,organisation,arc;organisation
arc/curtin_university,arc.gov.au,curtin_university,2023-05-26 11:04:54.124309,Curtin university,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_the_sunshine_coast,arc.gov.au,university_of_the_sunshine_coast,2023-05-26 11:04:54.124490,University of the sunshine coast,node_arc_orgs.csv,organisation,arc;organisation
"arc/sandia_national_laboratories,_new_mexico,_usa",arc.gov.au,"sandia_national_laboratories,_new_mexico,_usa",2023-05-26 11:04:54.125189,"Sandia national laboratories, new mexico, usa",node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_texas,_austin",arc.gov.au,"university_of_texas,_austin",2023-05-26 11:04:54.125229,"University of texas, austin",node_arc_orgs.csv,organisation,arc;organisation
arc/data_storage_institute,arc.gov.au,data_storage_institute,2023-05-26 11:04:54.125268,Data storage institute,node_arc_orgs.csv,organisation,arc;organisation
"arc/tufts_university,_usa",arc.gov.au,"tufts_university,_usa",2023-05-26 11:04:54.125355,"Tufts university, usa",node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_canberra,arc.gov.au,university_of_canberra,2023-05-26 11:04:54.125847,University of canberra,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_notre_dame_australia,arc.gov.au,university_of_notre_dame_australia,2023-05-26 11:04:54.126018,University of notre dame australia,node_arc_orgs.csv,organisation,arc;organisation
arc/temple_university,arc.gov.au,temple_university,2023-05-26 11:04:54.126105,Temple university,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_wyoming,arc.gov.au,university_of_wyoming,2023-05-26 11:04:54.126157,University of wyoming,node_arc_orgs.csv,organisation,arc;organisation
arc/charles_darwin_university,arc.gov.au,charles_darwin_university,2023-05-26 11:04:54.126303,Charles darwin university,node_arc_orgs.csv,organisation,arc;organisation
arc/james_cook_university,arc.gov.au,james_cook_university,2023-05-26 11:04:54.126403,James cook university,node_arc_orgs.csv,organisation,arc;organisation
arc/central_queensland_university,arc.gov.au,central_queensland_university,2023-05-26 11:04:54.126443,Central queensland university,node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_illinois_at_urbana-champaign,arc.gov.au,university_of_illinois_at_urbana-champaign,2023-05-26 11:04:54.126508,University of illinois at urbana-champaign,node_arc_orgs.csv,organisation,arc;organisation
arc/oregon_state_university,arc.gov.au,oregon_state_university,2023-05-26 11:04:54.126548,Oregon state university,node_arc_orgs.csv,organisation,arc;organisation
"arc/fordham_university,_usa",arc.gov.au,"fordham_university,_usa",2023-05-26 11:04:54.126735,"Fordham university, usa",node_arc_orgs.csv,organisation,arc;organisation
arc/national_center_for_atmospheric_research,arc.gov.au,national_center_for_atmospheric_research,2023-05-26 11:04:54.126799,National center for atmospheric research,node_arc_orgs.csv,organisation,arc;organisation
arc/carnegie_institution_for_science,arc.gov.au,carnegie_institution_for_science,2023-05-26 11:04:54.126838,Carnegie institution for science,node_arc_orgs.csv,organisation,arc;organisation
arc/stanford_university,arc.gov.au,stanford_university,2023-05-26 11:04:54.126877,Stanford university,node_arc_orgs.csv,organisation,arc;organisation
arc/the_university_of_new_england,arc.gov.au,the_university_of_new_england,2023-05-26 11:04:54.127058,The university of new england,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_helsinki,_finland",arc.gov.au,"university_of_helsinki,_finland",2023-05-26 11:04:54.127123,"University of helsinki, finland",node_arc_orgs.csv,organisation,arc;organisation
